"Nr okręgu";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba wyborców, którym wydano karty do głosowania w lokalu wyborczym oraz w głosowaniu korespondencyjnym (łącznie)";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"MNIEJSZOŚĆ NIEMIECKA";"XX";"YY"
1;;;;;;;;;;;;;;;;;;;;;;;451116;;53099;43357;174230;31835;148595;;;
2;;;;;;;;;;;;;;;;;;;;;;;430289;;52098;37742;144327;26393;169729;;;
3;;;;;;;;;;;;;;;;;;;;;;;651162;;94600;80511;170782;47152;258117;;;
4;;;;;;;;;;;;;;;;;;;;;;;517168;;80426;52959;162603;34266;186914;;;
5;;;;;;;;;;;;;;;;;;;;;;;520863;;84308;60473;183131;34232;158719;;;
6;;;;;;;;;;;;;;;;;;;;;;;620861;;102894;37083;294847;54325;131712;;;
7;;;;;;;;;;;;;;;;;;;;;;;432245;;59577;25691;231882;35594;79501;;;
8;;;;;;;;;;;;;;;;;;;;;;;498137;;77933;47911;143530;33672;195091;;;
9;;;;;;;;;;;;;;;;;;;;;;;445441;;54283;55770;122433;25428;187527;;;
10;;;;;;;;;;;;;;;;;;;;;;;450301;;66333;29794;220073;36254;97847;;;
11;;;;;;;;;;;;;;;;;;;;;;;444730;;65459;36734;185887;30376;126274;;;
12;;;;;;;;;;;;;;;;;;;;;;;485689;;77412;36305;204458;38645;128869;;;
13;;;;;;;;;;;;;;;;;;;;;;;484979;;86662;64712;124957;37421;171227;;;
14;;;;;;;;;;;;;;;;;;;;;;;442224;;55373;15496;252456;41414;77485;;;
15;;;;;;;;;;;;;;;;;;;;;;;459707;;87547;18902;232887;39251;81120;;;
16;;;;;;;;;;;;;;;;;;;;;;;531535;;92453;36461;230279;36496;135846;;;
17;;;;;;;;;;;;;;;;;;;;;;;436781;;63792;23316;225233;33711;90729;;;
18;;;;;;;;;;;;;;;;;;;;;;;604453;;96483;34133;285670;51528;136639;;;
19;;;;;;;;;;;;;;;;;;;;;;;725158;;101792;100839;156293;45964;320270;;;
43;;;;;;;;;;;;;;;;;;;;;;;390364;;55953;47277;96453;27119;163562;;;
20;;;;;;;;;;;;;;;;;;;;;;;451281;;71255;33517;138595;31607;176307;;;
42;;;;;;;;;;;;;;;;;;;;;;;553139;;69382;82532;92634;51137;257454;;;
21;;;;;;;;;;;;;;;;;;;;;;;438331;;61155;34763;150022;31150;161241;;;
22;;;;;;;;;;;;;;;;;;;;;;;430612;;60938;19750;241790;38080;70054;;;
23;;;;;;;;;;;;;;;;;;;;;;;647305;;83676;32828;347688;63854;119259;;;
24;;;;;;;;;;;;;;;;;;;;;;;589272;;114898;29478;258277;59648;126971;;;
25;;;;;;;;;;;;;;;;;;;;;;;599299;;90599;57967;155318;38406;257009;;;
26;;;;;;;;;;;;;;;;;;;;;;;657501;;92793;56887;199709;49203;258909;;;
27;;;;;;;;;;;;;;;;;;;;;;;573975;;85880;50112;215845;46098;176040;;;
28;;;;;;;;;;;;;;;;;;;;;;;592937;;74371;102109;199502;36291;180664;;;
29;;;;;;;;;;;;;;;;;;;;;;;628267;;86109;48407;231424;49928;212399;;;
31;;;;;;;;;;;;;;;;;;;;;;;549356;;72368;52415;171395;38061;215117;;;
33;;;;;;;;;;;;;;;;;;;;;;;627427;;90975;45048;310266;43197;137941;;;
35;;;;;;;;;;;;;;;;;;;;;;;668271;;109108;55900;231805;46709;224749;;;
36;;;;;;;;;;;;;;;;;;;;;;;521094;;87628;46222;194416;37838;154990;;;
37;;;;;;;;;;;;;;;;;;;;;;;401481;;69740;39761;162192;29208;100580;;;
38;;;;;;;;;;;;;;;;;;;;;;;398159;;72996;32378;120301;28370;144114;;;
39;;;;;;;;;;;;;;;;;;;;;;;586561;;98589;73345;116666;35182;262779;;;
40;;;;;;;;;;;;;;;;;;;;;;;449866;;58102;42402;147175;27367;174820;;;
41;;;;;;;;;;;;;;;;;;;;;;;399971;;51631;37731;113423;24954;172232;;;
