OWSejm;Robert BIEDROŃ;Krzysztof BOSAK;Andrzej Sebastian DUDA;Szymon Franciszek HOŁOWNIA;Władysław Marcin KOSINIAK-KAMYSZ;Rafał Kazimierz TRZASKOWSKI
1;10155;27697;191859;64470;8448;149821
2;6566;17014;120466;41081;5622;104905
3;20524;47082;232676;95499;13140;257631
4;11256;27860;179620;79948;11310;165962
5;10994;28672;200570;68649;12924;156999
6;10592;49519;331268;64009;17280;126251
7;6418;33884;259966;44978;14476;75320
8;10413;28743;161894;84590;9583;174894
9;12385;23672;134235;58675;7369;167436
10;6627;24707;207609;43226;9892;74447
11;10010;29380;247341;61393;13984;121326
12;5314;26431;177279;40584;8446;78884
13;19580;49840;256829;94721;19259;220398
14;4367;32533;261686;33717;8885;60889
15;4969;29799;216658;37012;15893;66779
16;6616;24263;214121;43943;13363;93863
17;5222;24808;209644;35011;10433;69904
18;6639;36098;291956;52104;14457;86853
19;50261;84568;340372;187336;21486;636751
20;13059;39300;249556;90108;12924;212585
21;8039;26661;176552;72609;10146;139125
22;6170;34910;264060;38007;11562;68783
23;8632;60440;382043;62735;15725;104006
24;8746;42823;280113;92088;11681;114076
25;14366;33812;172382;87815;10241;223373
26;15789;39166;224787;101575;12159;229633
27;7852;30480;181930;63603;7698;113872
28;6444;18592;134581;43517;7349;86185
29;8241;24986;130629;57717;6548;117254
30;5948;28669;159097;52948;5844;92699
31;12476;32518;178256;74189;8329;162191
32;9844;21765;128928;49195;6857;120992
33;10728;42544;343752;62383;19494;130670
34;5547;16603;115590;39935;6912;84223
35;8478;25762;138341;53663;8777;124699
36;9597;32569;216218;73293;14263;139541
37;7395;22074;185116;56036;9359;97291
38;7676;22159;138670;69141;10829;122705
39;16532;29565;126535;94637;9683;236266
40;7989;15917;110820;47761;6856;112641
41;13673;29495;176508;79496;9879;195217
